가수명,노래제목,발매일,가사,좋아요수,순위
지아,술 한잔해요 오늘,2016-12-01,오늘 한잔할까요 늘 만나던 그곳에서 찬바람이 불면 생각이 나던 골목집에서 추억 한잔할까요 긴 하루의 끝에서 아름다웠던 우리의 시절 다시 돌아갈까요 어떤 누구보다 날 사랑했던 그 사람 한잔하고 싶을 때마다 떠오르는 그리움 혼자서 마시는 술에 홀로 남겨진 슬픔에 잊으려고 하면 할수록 더 그대가 보고 싶어요 나 많이 취한 것처럼 우는 것처럼 보여도 괜찮아요 그대 온다면 못 알아볼 리가 없죠 언제인지 몰라도 술 버릇이 생겼네요 테이블 위에다 흘린 술로 난 그대를 그리죠 오늘만은 내 잔을 뺏어가면 안 돼요 못 이기는 건 술이 아니라 아픈 이별이니까 돌아와야 하는 그대는 안 돌아오고 그대 떠난 그때 겨울만 혼자 돌아왔네요 혼자서 마시는 술에 홀로 남겨진 슬픔에 잊으려고 하면 할수록 더 그대가 보고 싶어요 나 많이 취한 것처럼 우는 것처럼 보여도 괜찮아요 그대 온다면 못 알아볼 리가 없죠 이렇게 있다간 나도 모르게 소리 내서 울 것 같아서 나 일어날래요 나 그만 갈래요 이제 자꾸 사람들이 쳐다보니까 나 항상 그대뿐이죠 그래 난 그대뿐이죠 헤어지고 나서 이제서야 그대란 걸 알아요 나 많이 취한 것처럼 우는 것처럼 보여도 내일에도 이 곳에 와서 그대를 기다릴게요 ,32034,1501
순순희,참 많이 사랑했다,2018-04-17,가로등 하나 붙잡아 잠에 취해버린 어두운 골목길 우리의 마지막 밤 맘에도 없는 싫은 소리만 내뱉은 나 그런 내게 네가 한 아껴둔 그 말 그만하자 네 손이 내겐 너무 소중해서 혹시나 아파할까 봐 꽉 쥐어주지 못한 것 같아 그래서 네가 내 손을 쉽게 놓은걸 까봐 그때의 내가 참 싫어 참 많이 사랑했다 전해주고 싶은데 이별 뒤에 가려진 네 모습에 눈물만 흘러 사실 잘 안 되는 게 내 전부도 부족한 과분했던 너였으니까 너와 함께 자주 갔던 포장마차 혹시나 네가 있을까 발걸음을 재촉해보지만 이제는 사라져버린 추억 속에 너의 모습들 다시는 볼 수 없는 너의 흔적 참 많이 사랑했다 전해주고 싶은데 이별 뒤에 가려진 네 모습에 눈물만 흘러 사실 잘 안 되는 게 내 전부도 부족한 과분했던 너였으니까 그 흔한 사랑해 한마디가 왜 어려웠는지 바보같이 이제 서야 너무 후회돼 참 없이 사랑했다 못한 것만 생각나 슬픔 뒤에 가려진 온 세상이 뿌옇게 보여 그것만은 알아줘 이기적인 나였어 그래서 잊을 수 없는 너라는 걸 ,19396,1502
에일리(Ailee),슬픈 연극 (금혼령 X 에일리 (Ailee)),2022-02-10,별처럼 빛났던 네 기억이 사라지면 그땐 마음껏 웃을 수 있을까 비처럼 쏟아질 아픈 눈물 속에서 너란 우산 없이 살 수 있을까 떠날 땐 얼음보다 차갑게 미련이 남지 않게 사랑하던 순간들이 지워져 갈 수 있도록 잔인했던 너 너를 이해하던 나 그 모든 게 슬픈 연극 같았어 운명이 정해 준 내 대사가 끝난 뒤엔 결국 돌아서 무너져 울 텐데 달처럼 변하는 추억들이 두려워 꽃인 듯 안으면 가시가 된다 떠날 땐 얼음보다 차갑게 미련이 남지 않게 사랑하던 순간들이 지워져 갈 수 있도록 잔인했던 너 너를 이해하던 나 그 모든 게 슬픈 연극 같았어 내 거짓말이 늘어가 하나도 아프지 않아 넌 나에게 아무것도 아냐 그렇게 바보처럼 지낼게 상처가 되지 않게 찬란하던 지난날이 영원히 사라질 수 있도록 사랑했던 널 이제 보내주는 나 그 모든 게 슬픈 연극 같았어 ,3289,1503
별,안부 (Duet With 나윤권),2005-03-17,이번엔 진짠가요 몇 번을 헤어졌지만 결국엔 다시 또 돌아 왔잖아요 이번엔 진짠가요  이제는 알잖아요 사랑을 하면 할수록 시간이 갈수록 힘들어 진다는 걸 이젠 알잖아요  이젠 사랑해도 사랑해선 안되고 보고파도 만나선 안되고 술에 취해 흐트러지지 않게 술도 마시지 말고  행여 우리 마주치더라도 사랑하는 마음은 숨기고 오랜만에 만난 친구처럼 웃으며 안부를 물어요  너무 슬픈 일이죠 가슴이 너무나 아프죠 그댈 향한 마음을 다 지운다는 게 다 잊는다는 게  다음 세상엔 우리 우리 아주 일찍 만나요 그래서 평생 둘이 함께 지낼 수 있게 헤어질 필요 없게  이젠 사랑해도 사랑해선 안되고 보고파도 만나선 안되고 술에 취해 흐트러지지 않게 술도 마시지 말고  행여 우리 마주치더라도 사랑하는 마음은 숨기고 오랜만에 만난 친구처럼 웃으며 안부를 물어  이젠 사랑해도 사랑해선 안되고 보고파도 만나선 안되고 술에 취해 흐트러지지 않게 술도 마시지 말고 행여 우리 마주치더라도 사랑하는 마음은 숨기고 오랜만에 만난 친구처럼 웃으며 안부를 물어요 웃으며 안부를 물어요 ,18476,1504
KCM,알아요 (드라마 때려 OST),2014-02-18,매일 세상에게 묻곤 했어 너를 사랑해도 되는 건지 내게 그때마다 돌아 온건 이별이란 눈물 뿐 너만 행복하게 해준다면 내가 아니라도 괜찮다고 잠시 너를 떠나있을 때도 남겨진 건 슬픔 뿐 난 이제야 깨달았어 포기하려 했던 그 용기로 다시 온몸으로 부딪친다면 모든 걸 이룰 텐데 난 열 번이라도 천 번이라도세상 앞에 무릎 꿇겠어 내겐 너를 허락하게만 한다면 내 모든 걸 바치겠다고 내 맘 안다면 너도 같다면 잠시만 기다려줘 사랑은 운명보다 강하니까 그저 상처뿐인 내 인생에 너를 사랑해선 안되지만 네가 미치도록 보고 싶어 이런 나를 용서해 난 이제야 깨달았어 포기 하려 했던 그 용기로 다시 온몸으로 부딪친다면 모든 걸 이룰 텐데 난 열 번이라도 천 번이라도 세상 앞에 무릎 꿇겠어 내겐 너를 허락하게만 한다면 내 모든 걸 바치겠다고 내 맘 안다면 너도 같다면 잠시만 기다려줘 사랑은 운명보다 강하니까 난 열 번이라도 천 번이라도 다시 새로 태어나겠어 이 세상이 허락해주지 않아도 다른 세상 기다리면 돼 그때까지도 영원까지도 난 변치 않을꺼야 나에게 사랑은 너 하나니까 ,7695,1505
김필,얼음요새,2014-10-13,얼음요새를 향해 걸었지 얼어버린 두 귀를 감싸며 흐릿해진 길을 더듬어 따뜻한 널 안기 위해 그렇게 겨울을 걸었지 겨울 가운데 니가 있었고 용길 내어 네게 다가갔어 넌 아름답고 잔인했지 영원한 사랑은 내게 없을 거라며 차갑게 날 밀어냈어 눈부시도록 아름다워 안되는 줄 알면서도 작은 기적이라도 내게 찾아와 줄 순 없는지 온갖 차가운 말로 내 맘 얼어붙게 해 부디 나약한 내 손을 잡아줘 Please Save me 너는 아무리 아니라 해도 나는 여전히 널 보고있어 얼음같은 너의 영혼은 멈추지 않는 이 추위 속 겨울과 꼭 닮아있구나 눈부시도록 아름다워 안되는 줄 알면서도 작은 기적이라도 내게 찾아와 줄 순 없는지 온갖 차가운 말로 내 맘 얼어붙게 해 부디 나약한 내 손을 잡아줘 눈부시도록 아름다워 기적이라도 이제 Please Save me ,30428,1506
김기태,사랑한 후에,2022-03-01,긴 하루 지나고 언덕 저편에 빨간 석양이 물들어 가면 놀던 아이들은 아무 걱정 없이 집으로 하나 둘씩 돌아가는데 나는 왜 여기 서 있나 저 석양은 나를 깨우고 밤이 내 앞에 다시 다가오는데 이젠 잊어야만 하는 내 아픈 기억이 별이 되어 반짝이며 나를 흔드네 저기 철길 위를 달리는 기차의 커다란 울음으로도 달랠 수 없어 나는 왜 여기 서 있나 나는 왜 여기 서 있나 왜 왜 왜 어디서 왔는지 내 머리 위로 작은 새 한 마리 날아가네 이젠 잊어야만 나는 기억이 다른 하루를 재촉하는데 종소리는 맑게 퍼지고 저 불빛은 누굴 위한 걸까 새벽이 새벽이 내 앞에 다시 설레이는데 다시 설레이는데 ,1642,1507
싸이 (PSY),벌써 이렇게,2005-07-23,그리워하다 미워하다 지워버렸지 뭐 지워버렸지 뭐 시간이 약이야 다 순간이야 너와 헤어졌을 당시 나는 미쳐 잠시 숨을 쉬지 못할 정도의 슬픔과 아픔 또 가끔씩 들려오는 니 소식에 나 소심해져서 술로 지새 이러다 니가 죽든 내가 죽든 이건 무슨 사람 사는게 아냐 여기든 저기든 어디든지 간에 뭘 하든지 간에 무조건 너만 생각나네 하지만 날 떠났던 그 사람은 저만치에 가고 다시 사랑 않겠다던 그 당시의 각오 넌 잊혀져가고 또 시간이 약이야 다 순간이야 시간 지나고 나서 보니 계절이 다시 오니 그리워하다 미워하다 지워버렸지 뭐 이젠 뭐 그렇지 뭐 가물가물해 또 새로운 사랑 이젠 가능해 이젠 나 다른 사람 만나러 가요 새로운 사람이 오는가봐요  너없인 안될 줄 알았는데 벌써 이렇게 벌써 이렇게 이젠 나 다른 사람 만나러 가요 새로운 사랑이 오는가봐요 그사람 만나러 가는 길 벌써 이렇게 또 다시 떨려와요 너랑 같이 갔던 같은 곳이야 너가 아닌 딴사람과 함께 말이야 사람이란게 간사한게 이렇게 새롭게 시작된 지금이 좋을 뿐이야 그뿐이야 묘한 기분이야 이젠 내겐 새로운 만남에 대한 설레임이 전부 나의 전부였던 너는 더는 없어 이제 벌써 설레임이 내일엔 줄고 차츰 익숙해져 매일 세상 제일 기쁜 사람으로 만들어 주고 싶은 맘 그 어느때보다 훨씬 더 커 아름다운 기쁜 맘 도의적으로 미안하긴 했다만  이젠 너도 어여 나보다 훨씬 좋은 사람 만나 보란듯이 떵떵거리며 잘 살길 바란다 난 우리 딱 여기까지만 그럼 난 이만 이젠 나 다른 사람 만나러 가요 새로운 사랑이 오는가봐요 너없인 안될줄 알았는데 벌써 이렇게 벌써 이렇게 이젠 나 다른 사람 만나러 가요 새로운 사랑이 오는가봐요 그사람 만나러 가는 길 벌써 이렇게 또 다시 떨려와요 그리워하다 미워하다 지워버렸지 뭐 시간이 약이야 다 순간이야 너는 더는 없어 ,10444,1508
로꼬,Say Yes,2016-10-25,니 눈앞에 왔잖아 내가 여기 있잖아 너의 입술로 말을 해줘 say yes say yes 나도 모르게 너에게 가고 있나봐 부는 바람에 내 맘 전할래 love is true 간지럽게만 느껴지던 눈 빛이 이제는 익숙 하단듯이 웃음 짓지 그 쪽으로 걸어가기만 하면 돼 라고 친구들은 계속해서 날 부추기지만 아직은 무거운 구두의 뒷 굽 차라리 벗어버리고 싶은 이 밤의 끝 손을 내밀어 줬으면 해 맨발로 너에게 뛰어갈 수 있게 끔 복잡하기만한 하루에 매 시간 머리를 굴리지만 난 지금에서야 깨달은 건데 결국 다 버려지고 너만 남아 지난 봄에는 널 우연히 봤고 더 이상은 우연이 아니였으면 해 스치기만 했던 너의 손을 잡고 어떤 길이라도 같이 걸었으면 해 니 눈앞에 왔잖아 내가 여기 있잖아 너의 입술로 말을 해줘 say yes say yes 나도 모르게 너에게 가고 있나봐 부는 바람에 내 맘 전할래 love is true i need u baby 너에게 하고 픈 말 내가 못다한 말 baby baby baby boy love is true 어디든 갈 수 있어 이건 거짓말이 아니야 이제부터는 나의 옆이 제일 편한 자리야 입술을 오므리고 내는 소리와 같이 내 이름을 불러줬음 좋겠어 내가 뒤로 떨어져서 걷더라도 단지 이 목소리를 들어줬음 좋겠어 니 눈앞에 왔잖아 내가 여기 있잖아 너의 입술로 말을 해줘 say yes say yes 나도 모르게 너에게 가고 있나봐 부는 바람에 내 맘 전할래 love is true 내가 바라는 단 한가지 니가 내곁에 있어주는 것 니가 날 보며 웃어주는것도 내 얘길 들어주는것도 난 그걸로도 충분한데 you 너를 보며 웃잖아 두 눈이 말하잖아 너도 이렇게 대답해줘 say yes say yes 너라서 좋아 니가 날 울려도 좋아 너는 나의 모든 전부니까 love is true i need u baby 너에게 하고 픈 말 내가 못다한 말 baby baby baby boy love is true ,18925,1509
CHEEZE (치즈),사르르쿵,2022-02-20,나도 나를 잘 모르겠어 이런 기분은 참 뭐랄까 떨리는 것 같아 I’m a fool 너에게 듣고 싶은 말이 있는 걸 그걸 어떡해 오늘은 말할까 말까 어떻게 말할까 말까 괜히 난 네 주위만 맴돌다 사르르르 쿵 오늘은 말할까 말까 어떻게 말할까 말까 고민만 하다 하루가 다 가네 넌 이런 내 마음을 아는지 아님 눈치가 없는 건지 이것 봐 예쁘게 웃지 너에게 듣고 싶은 말이 있는 걸 이젠 어떡해 오늘은 말할까 말까 어떻게 말할까 말까 괜히 난 네 주위만 맴돌다 사르르르 쿵 오늘은 말할까 말까 어떻게 말할까 말까 고민만 하다 하루가 다 가네 사소한 마음까지 나를 들여다봐줄 수 있다면 나 기대어볼게 너의 마음에 크게 더 가까이 다가가볼래 오늘은 말할게 네게 이제껏 숨겨온 이 말 있잖아 난 네 앞에만 서면 사르르르 쿵 온종일 내 맘에 맘에 살며시 스며드는 너 꿈처럼 사르르 사랑이 내리네 오늘은 말할게 네게 이제껏 숨겨온 이 말 있잖아 난 네 앞에만 서면 사르르르 쿵 온종일 내 맘에 맘에 살며시 스며드는 너 꿈처럼 사르르 사랑이 내리네 ,5227,1510
