가수명,노래제목,발매일,가사,좋아요수,순위
WSG워너비 (가야G),그때 그 순간 그대로 (그그그),2022-07-09,잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠 생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠 그리운 목소리 그리던 얼굴 참 많이도 기다렸어다시 만나자는 너의 한마디에 울컥 눈물이 나결국 너였단 걸 알아기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼 서로를 알아보고 그렇게 눈앞에 서있죠 우리 사랑했던 우리 다시 만나 그때 그 순간 그대로사랑했고 사랑할 거니까 같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠 그리운 만남을 그리던 날들 참 많이도 기다렸어다시 너를 만나 더욱 더 소중해 같은 마음이란 걸알아 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼 서로를 알아보고 그렇게 눈앞에 서있죠우리 사랑했던 우리 다시 만나 그때 그 순간 그대로사랑했고 사랑할 거니까처음 느낌 그대로 설렘이 가득한 날고마워 다시 돌아와줘서그때 그 순간처럼 날안아줘결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼 서로를 알아보고 그렇게 눈앞에 서있죠 우리 사랑했던 우리 다시 만나 그때 그 순간 그대로사랑했고 사랑할 거니까,78350,1
경서,나의 X에게,2022-04-24,우리 다시 만날래예쁘게 빛나던모든 추억들이너무 그리워너의 품에 안길래이 밤이 새도록네게 말할 거야너를 좋아한다고안녕 그대야요즘 어떻게 지내가로수길 걷다가생각이 나서행복해 보이는 사람들 속에우리 둘만 없어서어색했었어늘 집에 갈 땐항상 뒤돌아보면날 보며 웃어주던네가 생각났어우리 다시 만날래예쁘게 빛나던모든 추억들이너무 그리워너의 품에 안길래이 밤이 새도록네게 말할 거야너를 좋아한다고토요일마다 가던한강공원에이어폰 하나씩나눠끼고서벚꽃엔딩같이 듣고 있으면부러울 게 없었어너만 있으면널 사랑할 때내가 너무 그리워날 보며 웃어주던네가 보고 싶어우리 다시 만날래예쁘게 빛나던모든 추억들이너무 그리워너의 품에 안길래이 밤이 새도록네게 말할 거야너를 좋아한다고같이 별 보러 갈래널 다시 만나면네 옆에 기대서잠들고 싶어너의 품에 안길래이 밤이 새도록내 곁에 있어줘내겐 너뿐이라고,100730,2
멜로망스,사랑인가 봐,2022-02-18,너와 함께 하고 싶은 일들을상상하는 게요즘 내 일상이 되고너의 즐거워하는 모습을 보고 있으면자연스레 따라 웃고 있는 걸너의 행동에 설레어하고 뒤척이다가지새운 밤이 많아지는데이건 누가 봐도 사랑일 텐데종일 함께면 질릴 텐데나 돌아서도 온통 너인 건아무래도 사랑인가 봐점점 너와 하고 싶은 일들 생각하면서하룰 보낸 날이 많아지는데이건 누가 봐도 사랑일 텐데종일 함께면 질릴 텐데나 돌아서도 온통 너인 건아무래도 사랑인가 봐너의 행복해하는 모습을 보고 있으면나도 모르게 따라 웃는데이 정도면 알아줄 만하잖아너도 용기 낼만 하잖아나만 이런 게 아니라면우리 만나볼 만하잖아아무래도 사랑인가 봐,146627,3
임영웅,사랑은 늘 도망가,2021-10-11,눈물이 난다 이 길을 걸으면그 사람 손길이 자꾸 생각이 난다붙잡지 못하고 가슴만 떨었지내 아름답던 사람아사랑이란 게 참 쓰린 거더라잡으려 할수록 더 멀어지더라이별이란 게 참 쉬운 거더라내 잊지 못할 사람아사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데바람이 분다 옷깃을 세워도차가운 이별의 눈물이 차올라잊지 못해서 가슴에 사무친내 소중했던 사람아사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데기다림도 애태움도 다 버려야 하는데무얼 찾아 이 길을 서성일까무얼 찾아 여기 있나사랑아 왜 도망가수줍은 아이처럼행여 놓아버릴까 봐꼭 움켜쥐지만그리움이 쫓아 사랑은 늘 도망가잠시 쉬어가면 좋을 텐데잠시 쉬어가면 좋을 텐데,169139,4
주호,내가 아니라도,2022-03-25,사랑이었다 별거 없던 내 하루에빛이 돼준 단한 사람나보다 나를 더 아껴 주던 너를그땐 왜 몰랐을까행복이었다 다시는 없을 것 같던잠시나마 행복했었다다른 사람 곁에 있는 널생각해 본 적 없지만이젠 너를 보내줘야 할 것 같아내가 아니라도눈부시게 사랑받았을 너라서그 소중한 시간을 나와 함께해 줘서고마웠어예쁘고 아름다웠던 너의 그날에함께했던 그 모든 순간이 행복했어내 전부였다 무엇도 바꿀 수 없던우리라서 행복했었다다른 누구라도나보다 더 좋은 사람 만나서이젠 나를 잊고 행복하게 살아내가 아니라도눈부시게 사랑받았을 너라서그 소중한 시간을 나와 함께해 줘서고마웠어예쁘고 아름다웠던 너의 그날에함께했던 그 모든 순간이 행복했어어두웠던 내 하루에빛이 되어주던 그날들을어떻게 잊고 살아과분했던 너라는 사람을 만나누구보다 사랑했었다내가 아니었다면눈부시게 사랑받았을 너란 걸이 세상에 누구보다 더 잘 알아서미안했어 너와 함께한 날들이더 말할 게 있을까행복한 기억만 가져갈게,50164,5
김민석 (멜로망스),취중고백,2021-12-19,뭐하고 있었니 늦었지만잠시 나올래너의 집 골목에 있는놀이터에 앉아 있어친구들 만나서 오랜만에술을 좀 했는데자꾸만 니 얼굴 떠올라무작정 달려왔어이 맘 모르겠니요즘 난 미친 사람처럼너만 생각해대책없이 네가 점점 좋아져아냐 안 취했어 진짜야널 정말 사랑해눈물이 날만큼 원하고 있어정말로 몰랐니가끔 전화해 장난치듯주말엔 뭐할거냐며너의 관심 끌던 나를그리고 한번씩 누나 주려 샀는데너 그냥 준다고생색 낸 선물도 너 때문에 산거야이 맘 모르겠니요즘 난 미친 사람처럼너만 생각해대책없이 네가 점점 좋아져아냐 안 취했어 진짜야널 정말 사랑해진심이야 믿어줘갑자기 이런 말 놀랐다면 미안해부담이 되는게 당연해이해해 널하지만 내 고백도 이해해 주겠니 oh지금 당장 대답하진마나와 일주일만 사귀어줄래후회없이 잘 해주고 싶은데그 후에도 니가 싫다면나 그때 포기할게귀찮게 안할게 혼자 아플게진심이야 너를 사랑하고 있어,136950,6
임영웅,우리들의 블루스,2022-05-02,잊지는 말아요 함께 했던 날들눈물이 날 때면그대 뒤를 돌아보면 돼요아프지 말아요 쓸쓸한 마음에힘든 일이 참 많았죠 그대에겐내가 곁에 있을게요그댈 위해 노래할게요잊지 말아요그댈 위해 약속할게요언젠가 우리 시간 지나면알게 되겠죠그땐 웃을 수 있죠 나 약속할게요그땐 미소 짓겠죠작은 행복까지 모두외롭고 지칠 때 손잡아 줄게요슬픔이 짙어질 때면 위로해 줄그 한 사람이 될게요그대 부디 울지 말아요슬퍼 말아요그대에게 빛이 될게요언젠가 우리 시간 지나면알게 되겠죠그땐 웃을 수 있죠 나 약속할게요폭풍 속에 혼자 남아 헤매도 오길이 되어 지킬게요 그대그댈 위해 노래할게요잊지 말아요그댈 위해 약속할게요어두운 길을 밝게 비추는그대의 빛이 될게요,70901,7
경서예지,다정히 내 이름을 부르면,2021-05-19,끝없이 별빛이 내리던 밤기분 좋은 바람이두 빰을 스치고새벽 바다 한곳을 보는아름다운 너와 나그림을 그려갔어모래 위 떨린 손끝으로날 향해 웃어주는 입술끝 모양과 저 달보다사랑스러운 두 눈을 가진 네가다정히 내 이름을부르면 내 마음이녹아내려 언제나나 하날 위해 준비된선물 같아 널 안으면잠들지 않는 바다 위를너와 함께 걷는 거 같아하늘 아래 너와 나남은 내 모든 날을 너에게다 줘도 안 아까워이제서야 내가사랑에 눈을 뜬 건 가봐경험하지 못했고믿기지 않는 일만일어나고 있는 거 아니5월에 피는 봄꽃 처럼내 사랑도 피어나부는 바람에 살며시 실어 보내다정히 내 이름을부르면 내 마음이녹아내려 언제나나 하날 위해 준비된선물 같아 널 안으면잠들지 않는 바다 위를너와 함께 걷는 거 같아하늘 아래 너와 나설레는 지금이꿈이 아닌 걸 알잖아난 더 바랄 게 없어먼 훗날 내 생애아주 작은 소리로귓가에 말할 거야내 곁에 머물러줘서마음 다해 고맙다고어떤 말로도 표현 못 할내 인생의 전부였다고이 순간 너를 꼭 안고고백할게 언제나우리 모든 날들과별빛 아래 우리 그림자제일로 특별하다고길고 긴 겨울 끝을 지나너의 앞에 서있는 지금선명한 목소리로널 사랑한다고말할게,143372,8
이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),2022-07-11,너무 걱정하지는 마보란 듯이 살아 볼 거야후회는 사치일 뿐이야다시 시작해 볼게나 어제 또 울었어나 어제 또 슬펐어왜 이런 바보를 사랑한 거니네 마음이 예뻐서네 사랑이 고마워이젠 네 손을 잡고다시 태어날 거야바보도 사랑합니다보내주신 이 사람이제 다시는 울지 않을 겁니다나 이제 목숨을 걸고세상 아픔에서 지켜낼게요이 사람을 사랑합니다널 위한다는 그 이유로너를 보낼 뻔했어나 그렇게 바보야넌 내 사랑 바보고서로를 많이도 울게 했었지네 사랑이 없다면널 만날 수 없다면아마 나는 평생을 후회하며 살 거야바보도 사랑합니다보내주신 이 사람이제 다시는 울지 않을 겁니다나 이제 목숨을 걸고세상 아픔에서 지켜낼게요이 사람을널 위해 노력해 볼게널 위해 살아갈게나약한 마음 따윈 모두 버릴게우리의 사랑을 위해너의 손을 잡고 놓지 않을게사랑하는 내 사랑 바보야,13566,9
케이시 (Kassy),늦은 밤 헤어지긴 너무 아쉬워,2022-05-19,어쩌면 너도 나와 같은 꿈 꿀까매일 마주 보며 눈뜨는 하루늦은 밤 헤어지긴 너무 아쉬워널 많이 사랑하나 봐유난히 날씨가 좋은 날넌 나를 설레이게 해영화 속에서만 보던 일들이요즘 내 일상인 듯해어쩌면 너도 나와 같은 꿈 꿀까매일 마주 보며 눈뜨는 하루늦은 밤 헤어지긴 너무 아쉬워널 많이 사랑하나 봐오늘 너에게 고백하겠어취해서 하는 말이 아냐참아온 진심인 거야하루 종일 아무것도 안 해도너랑 있는 게 젤 좋아달빛도 하늘 아래 우리를 비추고온 세상이 모두 잠든 것 같아늦은 밤 헤어지긴 너무 아쉬워널 많이 사랑하나 봐네가 살아가는 순간에그 모든 순간에 내가 있음 해고마워 내 인생에 나타나줘서이렇게 날 안아줘서오늘 너에게 고백하겠어,38174,10
