가수명,노래제목,발매일,가사,좋아요수,순위
정승환,십이월 이십오일의 고백,2019-12-05,입김처럼 하얀 목소리 닿을 듯하다 사라지고 못내 아쉬운 마음처럼 천천히 걷는 두 사람 넌 기다려 왔다가도 움츠러들게 되는 겨울 같아 걸음을 서둘러 이 신호에 건너게 된다면 서둘러 도착한 버스에 우리 나란히 앉아 간다면 십이월 이십오일의 고백을 서둘러 오늘 할 텐데 시큰 하고 시리다가도 포근한 이 겨울이 내겐 너 같아 걸음을 서둘러 이 신호에 건너게 된다면 서둘러 도착한 버스에 우리 나란히 앉아 간다면 십이월 이십오일의 용기를 서둘러 내어볼 텐데 눈이 내리지 않아도 충분히 아름다운 순간이야 다를 거 없는 보통의 하루라 더 기억해두고 싶은 밤이야 서둘러 이 어두운 골목을 지나면 어느새 도착한 너의 집 앞 가로등이 우릴 비추면 십이월 이십오일의 진심을 지금 너에게 말할게 나의 겨울아 내 모든 계절이 되어 줘 ,75204,1001
임한별,사랑 이딴 거,2019-01-22,털썩 주저 앉아버렸어 아무 준비 없이 만난 소나기 예고 없이 찾아오는 겨울 감기처럼 그렇게 다가온 우리 이별 좋았었는데 우리 모든 순간들 특별하진 않아도 행복했던 소박했던 추억 뭘 먹을까 고르는 너의 집중하던 두 눈 그런 사소한 네 모습 아직 내 눈엔 선명한데 너는 나빴어 끝까지 못됐어 네 맘 떠난 것도 모른 채 나만 사랑했잖아 안돼 나 이대론 못해 그냥 못 보내 말도 안돼 잠깐 우리 힘든 거잖아 끝내 널 잡았다면 놓지 않았다면 다시 첨으로 되돌아갔을까 난 사랑 이딴 게 뭐라고 하루 종일 날 보채고 있어 너의 눈빛도 어색했던 미소도 눈치채지 못했던 내가 미워 사실 매일 밤 나 꿈에서 너를 만나 똑같은 하루를 보내 늘 그래왔던 것처럼 눈 뜨면 너 혹시 돌아올까 너는 나빴어 끝까지 못됐어 네 맘 떠난 것도 모른 채 나만 사랑했잖아 안돼 나 이대론 못해 그냥 못 보내 말도 안돼 잠깐 우리 힘든 거잖아 얼마나 아파해야 몇 밤이 지나야 다시 올 거니 아무렇지 않게 사랑 이딴 게 뭐라고 아무것도 난 못하고 믿어지지 않아 아니 난 믿고 싶지 않아 우리 함께한 약속들 어떡하라고 다시 돌아와 혼자서 뱉는 말 내가 놓은 거야 그런 거야 정말 끝이 난 거야 그 때 남김없이 널 아낌없이 널 사랑할걸 나만 아파해도 되니까 잊혀질 때까지만 내 미련 없을 만큼만 널 불러볼게 아무도 모르게 오늘도 잘 참아냈어 그렇게 너를 보냈어 ,34957,1002
지아,가질 수 없어도,2022-06-01,어디서부턴지 멀어지던 네 모습 내 노력으로는 부족했어 끝까지 함께 하자던 얘기들도 이제는 추억이 돼 잡을 수 없었던 내 자신이 원망스러워 그때의 현실이 내 품에 두고 싶은데 가질 수 없어 내 욕심만으론 널 잡을 수 없어 그리워서 그리워서 너무도 보고 싶어서 더 아프다 가질 수 없어도 함께 보낸 계절 사소한 일상들 허전한 너의 빈자리 너 없는 하루에 익숙해져야 해 앞으로도 계속 내 품에 두고 싶은데 가질 수 없어 내 욕심만으론 너를 잡을 수 없어 그리워서 그리워서 너무도 보고 싶어서 아프다 이제서야 함께했던 시간들이 이렇게 소중했단 걸 더 많이 느끼곤 해 내 품에 두고 싶은데 가질 수 없어 내 욕심만으론 너를 잡을 수 없어 어디서도 나 없이도 네가 행복하길 바래 가질 수 없어도 널 내 안에 담아 간직할게 ,1376,1003
정창룡,익숙함에 속아 소중함을 몰랐다 (Feat. 이지용),2020-06-30,있을 때 잘해 네가 내게 가끔 했던 말 그땐 그냥 웃으면서 넘겼던 그 말 시간이 흘러 네가 나를 떠난 후에야 눈물로 변해버렸던 그 말 이제 와서 후회한다고 달라질 건 없는데 왜 이렇게 가슴이 찢어질까 익숙함과 편안함에 속아 함부로 대하고 나만 바라보던 네 모습에 소중함을 몰랐다 그런 내 모습에 너는 지쳐 나를 떠나가고 이제 와 후회돼 눈물만 흘렸다 처음에는 바라만 봐도 정말 좋았었는데 혼자 변해가는 내모습들이 익숙함과 편안함에 속아 함부로 대하고 나만 바라보던 네 모습에 소중함을 몰랐다 그런 내 모습에 너는 지쳐 나를 떠나가고 이제 와 후회돼 눈물만 흘렸다 그땐 왜 몰랐을까 그땐 왜 몰랐을까 그 이쁜 얼굴에 눈물이 흘러도 그때 너에게 했던 그 모진 말들이 평생의 그리움이 돼버렸어 익숙함과 편안함에 속아 함부로 대하고 나만 바라보던 네 모습에 소중함을 몰랐다 그런 내 모습에 너는 지쳐 나를 떠나가고 이제 와 후회돼 눈물만 흘렸다 너와 헤어지던 그날 밤에 참 많이 울었어 그깟 자존심이 모라고 널 아프게 했었다 미안하다는 그 한마디를 전하지 못해서 아직 내 가슴이 널 잊지 못한다 이제 와 말한다 정말 미안했다 ,9112,1004
엠씨더맥스 (M.C the MAX),어김없이,2016-01-28,아무렇지 않은 듯이  그렇게 천천히 잊어보려 해 붙잡고 싶지만 그대의 마음이 다른 곳으로 흘러서 애를 써 봐도 매달려도 달아나잖아 돌아서는 그대 뒷모습마저 두 눈에 담아 어김없이 터져버린 눈물이 마음이 그대에게 전해져 가기만을 한없이 잊어도 언젠가 그때의 우리를 기억하길 바래 붙잡고 싶지만 그대의 마음이 다른 곳으로 흘러서 애를 써 봐도 매달려도 달아나잖아 돌아서는 그대 뒷모습마저 두 눈에 담아 어김없이 터져버린 눈물이 마음이 그대에게 전해져 가기만을 한없이 잊어도 언젠가 그때의 우리를 기억하길 바래 언제나 힘들면 여기 내 곁에 돌아와 변함없이 기다린 그대만을 바라는 내게로 멈춰진 시간 속에 그대가 우리가 그때 그 모습 그대로 남아서 잊혀 지지 않게 부르는 하모니 그대에게도 들리기를 멀리 흩어지는 그대 ,45647,1005
쿨 (COOL),One Summer Drive,2003-07-01,네가 떠난 뒤에 닫았던 내방 창을 오늘 열었지 어질러진 슬픔 치워 내 보내 려 두 눈 가득 베는 여름 빛 무작정 나는 차를 몰아 바람속에 섞인 너의 향길 지워 떠나가 어디든 지도엔 없는 길을 따라 흙바람 불어 두 눈을 가려도 yeah 차 바퀸 계속 덜컹거리고 난 그때마다 흔들리게 돼 다시 땀은 비오듯 추억되어 흐르지 Oh 땅끝 마을 찾아가는거야 이 긴 해가 지치도록 그곳에서 시작하는거야 날 위해 너 없는 삶도 아름답다는걸 Oh 난 별것 아닌 이별 너무 오래 슬퍼했었다고 나 처음으로 돌아가 나를 사랑할거야 하늘빛 차양 걸린 집 보이면 꿈 같은 추억에 또 앉게 되면 창가엔 강바람이 잔뜩 쌓여 추억의 강바람만 가득한데 새빨간 거짓말처럼 사라진 널 믿지 못해 너 떠나 살 수 없는 나였기에 새빨간 저 노을 빛처럼 눈은 매일 붉어졌었지 끝난 추억에 나를 가둬야 했어 Oh 세상 끝에 서면 노래할래 다시 시 작할거라고 해를 밀어 올린 바다 깊이 널 묻고 이젠 나 혼자로도 삶은 아름답지 oh 나 콧노래가 나 와 처음으로 다시 오는 길엔 해 길은 여름 노을만 붉게 피어 오를뿐 땅끝 마을 찾아가는거야 이 긴 해가 지치도록 처음부터 시작하는거야 날 위해 너 없는 삶도 아름답다는 걸 Oh 난 별것아닌 이별 너무 오래 슬퍼했었다고 나 처음으로 돌아가 나를 사랑할거야 내 모든 것 다 잊고 나를 사랑할거야 ,14057,1006
비투비,두 번째 고백,2013-04-10,오늘은 굉장히 중요한 날입니다 한 여자에게 두 번째 고백을 하는 날이거든요 그녀에게 다시 찾아가려 합니다 과연 그녀가 제 마음을 받아줄까요 오늘은 왠지 느낌이 좋습니다 자존심도 다 버리고 두 번째 고백 하고 싶은 말이 많아도 생략할게 멋지게 나 변할게 오늘부터 다시 매일 견우와 직녀처럼 멋진 사랑을 해 볼래 널 위해 방안에서 틀어박혀 고백 연습 너만을 위한 세레나데 노래도 연습 넘어져도 다시 일어나 걱정하지 마 용기를 내자 서툰 편지를 쓰고 커다란 곰 인형 공급 우리가 사랑했던 시간도 그토록 꿈결 같던 시간도 모두 전부 다 잊을 수가 없는데 All day 너만 생각해 어제도 밤을 세웠네 Girl 가슴이 답답해 잠 못 이루는 밤에 어떤가요 그댄 괜찮나 봐요 하루하루 그때 추억에 젖어 힘이 드네요 언제라도 그대 돌아온다면 눈물 따윈 없겠죠 두 번째 나의 고백 I want you back baby I swear it's true Won't ever make you jealous I'll make them jealous of you Come back to me for eternity And take a listen to my 2nd confession please 너와 난 이제 신호 하나를 끼고서 마주 봐 어쩌나 심장이 터져 버릴 것만 같아 누가 그녀에게 내 사랑을 큐피트의 화살을 날려줘 날 살려줘 어랏 초록 불이다 돌아올 수 있을까 그때가 다시 나와 함께 할 수 있을까 그대가 다시 가로수 길 밥집 논현동의 아침 다시 한 번 맛 보고 싶은 골목길에서의 키스 여지껏 힘겨웠던 시간들 갈수록 후회 뿐인 나날들 모두 전부 다 되돌리고 싶은데 All day 너만 생각해 어제도 밤을 세웠네 Girl 그대는 어떤지 돌아가고 싶은데 어떤가요 그댄 괜찮나 봐요 하루하루 그때 추억에 젖어 힘이 드네요 언제라도 그대 돌아온다면 눈물 따윈 없겠죠 두 번째 나의 고백 남들의 시선이 두렵진 않아 두 번째 고백 그대를 위한 세레나데 두 번째 고백 Throwing away my pride to ask you to come back I'll be your shoulder strap and you can be my backpack 그때로 다시 돌아가고 싶은데 그대는 왜 Oh 왜 내 맘 몰라주나요 언제라도 그대 돌아온다면 눈물 따윈 없겠죠 Oh 어떤가요 그댄 괜찮나 봐요 하루하루 그때 추억에 젖어 힘이 드네요 언제라도 그대 돌아온다면 눈물 따윈 없겠죠 두 번째 나의 고백 ,78615,1007
바이브,Promise U,2002-02-01,한동안 많이 힘들겠지  예전처럼 우리다시 만날까  말하고 싶은데 말하고 싶은데  그댄 지금 어디에  좋아 니 멋대로 떠나  지난날 속에 기억은  지워줄께  함께 잊어줄께  잘 살아볼께 잊어볼께  믿거나 말거나 사랑이란 언제나  주거나 받거나 사라지는 거잖아  환한 미소로 내게 다가왔던  그대는 어디에 나 또한 어디에  I promise U I promise U  난 너를 잊어 갈께  I can't love with U  I can't love with U Oh no  이제는 기억에 사라질께 난  내 삶속에 단 한번에 상처  남기고 간  그대안에 갇혀 지내왔어  오랫동안을  나의 다짐이 나를 꺼내줬어  한순간 너를 보내기에 내가 너를 너무 사랑했나봐  말하고 싶은데 말하고 싶은데  그댄 지금 어디에 걸어가 각자의 길을 걸어가 가  늘어가 찢겨진 편진 늘어가 가  혼자나마마 늦게나마마  찢겨진 편질들고 네게 찾아가  조금만 더 내게 시간을 줘 제발  한번만 더 내게 기회를 줘 제발  언젠간 너도 나처럼 멋대로  제멋대로 굴던때를 후회하고 말걸 I promise U I promise U  난 너를 잊어 갈께  I can't love with U  I can't love with U Oh no  이제는 기억에 사라질께 난 멀어질대로 멀어지고 그대는 멀어지고 절대로 그때로 돌아갈순 없고 믿고 싶지는 않고 너를 믿고 살아왔고 잔인하게도 날 떠나갔고 한참동안 울어야 했고 저 달빛에 기대어봤고 이미 떠나간 너를 볼순없고 나 너를 보내고 그 시간속에서 얼마나 지쳐있는지 I deep in side my heart hold me Now cause I miss U baby I can't love with U I can't love with U 난 너를 잊어 갈께 oh I promise U I promise U Oh no 이제는 기억에 사라질께 난 가라 했어 잊으라 했어 애써 잊어보겠어 됐어 널 지워버리겠어 알겠어 벌써 나의 기억 속에서 사라져가고 있어 가라 했어 잊으라 했어 애써 잊어보겠어 됐어 널 지워버리겠어 알겠어 벌써 나의 기억 속에서 사라져가고 있어 벌써 잊었어 ,23217,1008
박보람,애쓰지 마요,2018-02-13,혹시 너도 밤잠을 설친 적이 있었니 혹시 내일 아침이 무서운 적이 있었니 이별이 실감 안 나 허전한 빈자리에 시린 찬바람 불어온 적 있었니 가끔 너도 내 걱정에 힘들어할 까봐 괜스레 또 접어둔 네 생각 꺼내보지만 어쩌면 내 착각일까 너무나 두려워 이렇게 아직도 나는 애쓰지 마요 우리 잊으려고 노력하지도 마요 마음 아파 눈물 나도 마지막 모습일 테니 조금 더 아파해도 되는데 잊으려 애쓰지 말아요 언젠가는 웃으며 떠올릴 수 있을까 기나긴 밤 눈물 없이 잠들 수 있을까 기억이 함께 만들어갔던 추억들이 희미해질 수 있을까 애쓰지 마요 우리 흘러가는 대로 두기로 해요 마음 아파 눈물 나도 그만큼 사랑했으니 조금 더 아파해도 되는데 잊으려 애쓰지 말아요 이렇게라도 내 맘을 위로하고 싶지만 벌써 그대 나를 잊었을까 두렵기도 해 아주 가끔 그대 내가 생각이 나면 그대로 날 기억해주길 애쓰지 마요 우리 잊으려고 노력하지도 마요 마음 아파 눈물 나도 마지막 모습일 테니 조금 더 아파해도 되는데 잊으려 애쓰지 말아요 ,74377,1009
박창근,다시 사랑한다면,2021-12-17,그대와 나의 사랑은 너무나 강렬하고도 애절했으며 그리고 위험했다 그것은 마치 서로에게 다가설수록 상처를 입히는 선인장과도 같은 다시 태어난다면 다시 사랑한다면 그때는 우리 이러지 말아요 조금 덜 만나고 조금 덜 기대하며 많은 약속 않기로 해요 다시 이별이 와도 서로 큰 아픔 없이 돌아설 수 있을 만큼 버려도 되는 가벼운 추억만 서로의 가슴에 만들기로 해요 이젠 알아요 너무 깊은 사랑은 외려 슬픈 마지막을 가져온다는 걸 그대여 빌게요 다음번에 사랑은 우리 같지 않길 부디 아픔이 없이 많은 시간이 흘러 서로 잊고 지내도 지난날을 회상하며 그때도 이건 사랑이었다고 말할 수 있다면 그걸로 된 거죠 이젠 알아요 너무 깊은 사랑은 외려 슬픈 마지막을 가져온다는 걸 그대여 빌게요 다음번에 사랑은 우리 같지 않길 부디 내 아픔이 없이 이젠 알아요 영원할 줄 알았던 그대와의 사랑마저 날 속였다는 게 그보다 슬픈 건 나 없이 그대가 행복하게 지낼 먼 훗날의 모습 아아아아아아 아아 내 마음을 하늘만 알기를 라라라라라라 라아아아아아 라아아아아아 라라라라라라 나나나나나나 나나 내 마음은 흐음 ,5276,1010
